corridor_id,corridor_name,corridor_from,corridor_to,item_name,emoji,description,tier,category,latitude,longitude,visible_from_highway,add_count,spot_count,miss_count,confuse_count,image_url,notes
paris-berlin-a4,Paris to Berlin (A4/A3),Paris,Berlin,European Robin,🐦,"A small bird with an orange-red breast — common across Europe but hard to spot from a moving car.",excluded,landscape,,,FALSE,3,0,3,2,,Consistently marked as not seen. Too small to spot from highway. EXCLUDED.
paris-berlin-a4,Paris to Berlin (A4/A3),Paris,Berlin,Ruhr Valley Industrial Skyline,🏭,"The Ruhr region's mix of old smokestacks and modern industry — once the industrial heart of Europe.",generic,infrastructure,51.4500,7.2000,TRUE,0,0,0,0,,AI-generated. Not yet verified by users or admin.
rome-florence-a1,Rome to Florence (A1),Rome,Florence,Florence Cathedral Dome,⛪,"Brunelleschi's dome — the engineering marvel that launched the Renaissance. Its red-tiled silhouette dominates the skyline as you approach on the A1.",legendary,landmark,43.7731,11.2560,TRUE,62,58,1,0,,Visible from 15+ km away on clear days. Absolutely iconic approach to Florence.
rome-florence-a1,Rome to Florence (A1),Rome,Florence,Orvieto on its Cliff,🏰,"A medieval city perched on a volcanic tuff plateau — dramatically visible from the A1 as you drive north from Rome.",legendary,landmark,42.7186,12.1103,TRUE,45,40,3,0,,One of the most dramatic sights on the A1. Impossible to miss.
rome-florence-a1,Rome to Florence (A1),Rome,Florence,Val d'Orcia Landscape,🌾,"UNESCO-listed Tuscan landscape of rolling hills, cypress-lined roads, and golden wheat fields. The iconic 'Tuscany postcard' view.",legendary,landscape,43.0500,11.5500,TRUE,41,37,2,1,,Seasonal — most dramatic May-July and September-October.
rome-florence-a1,Rome to Florence (A1),Rome,Florence,Autostrada Tunnel,🚇,"The A1 bores through the Apennine mountains via tunnels — some over 3km long. Count them!",listed,infrastructure,44.0000,11.3000,TRUE,35,34,0,0,,
rome-florence-a1,Rome to Florence (A1),Rome,Florence,Hilltop Village with Campanile,🔔,"Medieval borghi perched on hilltops with a bell tower poking above — you'll see dozens along the A1.",listed,culture,43.2000,11.8000,TRUE,28,25,1,2,,Some users weren't sure what counts as a campanile vs a regular tower.
rome-florence-a1,Rome to Florence (A1),Rome,Florence,Olive Grove,🫒,"Silver-green olive trees on terraced hillsides — Italy is the world's second-largest olive oil producer.",listed,landscape,42.8000,12.0000,TRUE,22,19,2,1,,
rome-florence-a1,Rome to Florence (A1),Rome,Florence,Fiat Panda,🚗,"Italy's beloved tiny car — spot one in any color on virtually every road.",community_verified,vehicle,,,TRUE,11,10,0,0,,
rome-florence-a1,Rome to Florence (A1),Rome,Florence,Roadside Shrine,🙏,"Small edicola or wayside shrines with a saint's image — placed along roads for travelers' protection.",community_verified,culture,,,TRUE,8,6,1,1,,Some users said they couldn't distinguish these from regular signs at highway speed.
i95-ny-dc,I-95 NY to DC,New York,Washington DC,Delaware Memorial Bridge,🌉,"Twin suspension bridges spanning the Delaware River — 3.6 miles of bridge connecting New Jersey to Delaware.",legendary,landmark,39.6883,-75.5153,TRUE,52,48,2,0,,Unmistakable. Toll bridge — have cash or E-ZPass ready.
i95-ny-dc,I-95 NY to DC,New York,Washington DC,Baltimore Harbor Skyline,🏙️,"The Inner Harbor and Domino Sugars sign — Baltimore's iconic waterfront visible from I-95 as you pass through.",legendary,landmark,39.2804,-76.6082,TRUE,43,39,3,0,,Best viewed from the elevated section of I-95 through Baltimore.
i95-ny-dc,I-95 NY to DC,New York,Washington DC,New Jersey Turnpike Toll Plaza,🚧,"One of America's busiest toll roads — the wide toll plazas are an experience unto themselves.",listed,infrastructure,40.2000,-74.5000,TRUE,30,28,1,0,,
i95-ny-dc,I-95 NY to DC,New York,Washington DC,Chesapeake Bay Bridge,🌉,"4.3-mile bridge over the Chesapeake Bay — if routing via US-50 detour. Otherwise visible as signs from I-95.",listed,infrastructure,38.9933,-76.3800,TRUE,18,12,5,1,,Only visible if taking the Bay Bridge route. Some confusion with I-95 signs.
i95-ny-dc,I-95 NY to DC,New York,Washington DC,South of the Border Signs,📋,"Kitschy roadside billboards advertising 'South of the Border' — they start appearing hundreds of miles before the actual stop in SC.",excluded,culture,,,FALSE,6,0,6,0,,Wrong corridor! These are on I-95 in the Carolinas not NY-DC. EXCLUDED from this corridor.
pittsboro-myrtle,Pittsboro to Myrtle Beach,Pittsboro NC,Myrtle Beach SC,South of the Border,📋,"Pedro's giant sombrero and hundreds of billboards along I-95 — a legendary roadside attraction since 1950.",legendary,landmark,34.2884,-79.3740,TRUE,0,0,0,0,,Need to verify: is this actually on the route from Pittsboro or only if going via I-95?
pittsboro-myrtle,Pittsboro to Myrtle Beach,Pittsboro NC,Myrtle Beach SC,Tobacco Barn,🏚️,"Old wooden curing barns dotting the NC countryside — remnants of the state's tobacco farming heritage.",listed,culture,35.2000,-79.2000,TRUE,0,0,0,0,,
pittsboro-myrtle,Pittsboro to Myrtle Beach,Pittsboro NC,Myrtle Beach SC,Lumber River Swamp,🌿,"Dark tannic water and cypress trees along US-74 — a blackwater river ecosystem unique to the Carolinas.",listed,landscape,34.5000,-79.0000,TRUE,0,0,0,0,,
